feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU12+AU26,combo_2,weighted,795,0.6011999927492886,1.4754761904761906,0.7493472584856397,0.7387387387387387,0.7440051847051198
AU06+AU17,combo_2,weighted,795,0.6002610256131383,1.029333333333333,0.7340301974448316,0.8133848133848134,0.7716727716727716
AU02+AU25,combo_2,weighted,795,0.5992731161745246,0.7147368421052631,0.7482319660537482,0.6808236808236808,0.7129380053908357
AU25+AU45,combo_2,weighted,795,0.59920785977124,0.8201123595505618,0.7526236881559221,0.646074646074646,0.6952908587257618
AU14+AU23,combo_2,weighted,795,0.5977105878514329,0.9396178343949044,0.7717770034843205,0.5701415701415702,0.6558105107327905
AU07+AU23,combo_2,weighted,795,0.5975474468432216,0.8883962264150943,0.7595993322203672,0.5855855855855856,0.6613372093023256
AU01+AU12,combo_2,weighted,795,0.5939674080519151,1.2578640776699028,0.758893280632411,0.7413127413127413,0.7499999999999999
AU05+AU07,combo_2,weighted,795,0.5878913118349739,0.7844936708860759,0.7426597582037997,0.5534105534105535,0.6342182890855457
AU05+AU14,combo_2,weighted,795,0.5838562908985444,0.823076923076923,0.7581818181818182,0.5366795366795367,0.6284853051996986
AU10+AU14,combo_2,weighted,795,0.5834284989214567,2.5295238095238095,0.7681498829039812,0.42213642213642216,0.5448504983388704
AU05+AU09,combo_2,weighted,795,0.5800859209309914,0.04434782608695639,0.7268106734434562,0.7361647361647362,0.731457800511509
AU09+AU20,combo_2,weighted,795,0.5766490836913373,0.0524022346368715,0.7266811279826464,0.8622908622908623,0.7886992348440259
AU12+AU17,combo_2,weighted,795,0.5765765765765766,1.4267500000000002,0.7372781065088757,0.8018018018018018,0.7681874229346486
AU04+AU12,combo_2,weighted,795,0.5761252197871916,1.2375294117647062,0.7430972388955582,0.7966537966537967,0.768944099378882
AU07+AU20,combo_2,weighted,795,0.5746188844780394,0.7225077399380806,0.7382039573820396,0.6241956241956242,0.6764295676429568
AU09+AU10,combo_2,weighted,795,0.5739663204451937,1.5565168539325838,0.751953125,0.4954954954954955,0.5973622963537626
AU07+AU45,combo_2,weighted,795,0.5692424819185382,1.0168303571428572,0.7508896797153025,0.5431145431145431,0.6303211351755041
AU01+AU25,combo_2,weighted,795,0.5665198397592764,0.6644080267558528,0.7344913151364765,0.7619047619047619,0.7479469361970941
AU14+AU45,combo_2,weighted,795,0.5662370620117099,0.9278616352201258,0.7389240506329114,0.601029601029601,0.6628814762242726
AU02+AU07,combo_2,weighted,795,0.5659488462305363,0.1984269662921348,0.7181069958847737,0.8983268983268984,0.7981703830760434
AU25+AU26,combo_2,weighted,795,0.5620860296916634,0.8474193548387097,0.7331701346389229,0.7709137709137709,0.7515683814303639
AU14+AU20,combo_2,weighted,795,0.5601645911505067,0.5281578947368422,0.72294887039239,0.7824967824967825,0.7515451174289245
AU10+AU23,combo_2,weighted,795,0.5578914931027606,1.0178947368421052,0.7200902934537246,0.8211068211068211,0.7672880336740829
AU07+AU15,combo_2,weighted,795,0.5544764079975348,0.8214556962025316,0.723916532905297,0.5804375804375804,0.6442857142857144
AU04+AU07,combo_2,weighted,795,0.5540232385302808,1.77625,0.7724719101123596,0.3539253539253539,0.4854368932038834
AU04+AU25,combo_2,weighted,795,0.5525295919662118,0.8599065420560749,0.7305151915455746,0.7117117117117117,0.7209908735332464
AU17+AU25,combo_2,weighted,795,0.5505864012906267,0.9473764258555133,0.7247596153846154,0.7760617760617761,0.7495338719701679
AU14+AU15,combo_2,weighted,795,0.5476843040223321,0.4527083333333332,0.7161862527716186,0.8314028314028314,0.7695056581298393
AU02+AU14,combo_2,weighted,795,0.5476262983305237,0.3506578947368421,0.720510095642933,0.8725868725868726,0.7892898719441209
AU07+AU26,combo_2,weighted,795,0.5407725633077746,0.782,0.7132352941176471,0.749034749034749,0.7306967984934086
AU02+AU09,combo_2,weighted,795,0.5386408541338119,0.083611111111111,0.7203166226912929,0.7027027027027027,0.711400651465798
AU01+AU07,combo_2,weighted,795,0.5371290807910526,1.0460714285714285,0.7212230215827338,0.5160875160875161,0.6016504126031508
AU05+AU10,combo_2,weighted,795,0.5358130766581471,0.8618181818181818,0.7167755991285403,0.8468468468468469,0.776401179941003
AU09+AU45,combo_2,weighted,795,0.5355049214204143,0.2767460317460317,0.7318007662835249,0.49163449163449163,0.588144726712856
AU10+AU20,combo_2,weighted,795,0.5225479000126888,0.8986486486486486,0.7197049525816649,0.879021879021879,0.7914252607184241
AU10+AU45,combo_2,weighted,795,0.5199303931698298,0.7589473684210526,0.7108081791626095,0.9395109395109396,0.8093126385809312
AU14+AU26,combo_2,weighted,795,0.5158083636956876,0.48934984520123836,0.7054726368159204,0.9124839124839125,0.7957351290684624
AU07+AU17,combo_2,weighted,795,0.5152119926767813,2.0957142857142856,0.7542372881355932,0.22908622908622908,0.351431391905232
AU04+AU14,combo_2,weighted,795,0.515050664346439,0.2172222222222222,0.7027027027027027,0.9369369369369369,0.803088803088803
AU10+AU15,combo_2,weighted,795,0.5130313412003553,0.6360784313725489,0.7088974854932302,0.9433719433719434,0.8094975151849807
AU05+AU23,combo_2,weighted,795,0.5129407073069044,0.1026530612244898,0.7136812411847673,0.6512226512226512,0.6810228802153431
AU02+AU10,combo_2,weighted,795,0.5127630648757409,0.8894444444444441,0.712742980561555,0.8494208494208494,0.7751027598355842
AU01+AU14,combo_2,weighted,795,0.5088658074573568,0.3086402266288951,0.7017017017017017,0.9021879021879022,0.7894144144144145
AU04+AU10,combo_2,weighted,795,0.5038120615585404,0.857659574468085,0.7117021276595744,0.861003861003861,0.7792661619103086
AU23+AU45,combo_2,weighted,795,0.502978229738793,0.1318367346938775,0.7063921993499458,0.8391248391248392,0.7670588235294117
AU20+AU23,combo_2,weighted,795,0.49986042380408574,0.043428571428571296,0.7012072434607646,0.8970398970398971,0.7871259175607002
AU10+AU26,combo_2,weighted,795,0.4959377888955354,0.7672727272727271,0.7063339731285988,0.9472329472329473,0.8092358438702583
AU09+AU15,combo_2,weighted,795,0.4948121159388766,0.24199999999999988,0.7057613168724279,0.44144144144144143,0.5431512272367379
AU14+AU17,combo_2,weighted,795,0.4914133449344717,1.5198994974874371,0.7037037037037037,0.3667953667953668,0.48223350253807107
AU04+AU09,combo_2,weighted,795,0.48935051751953157,0.0377777777777777,0.6970033296337403,0.8082368082368082,0.7485101311084625
AU01+AU10,combo_2,weighted,795,0.48380009788460493,0.542,0.704265402843602,0.9562419562419563,0.8111353711790394
AU09+AU26,combo_2,weighted,795,0.48285388003697866,0.2797999999999999,0.7039170506912442,0.7863577863577863,0.7428571428571429
AU02+AU23,combo_2,weighted,795,0.4666286004314174,0.020300300300300198,0.6934235976789168,0.9227799227799228,0.7918277194919934
AU10+AU17,combo_2,weighted,795,0.4634926677180198,0.9570526315789473,0.7021072796934866,0.9433719433719434,0.8050521691378365
AU04+AU23,combo_2,weighted,795,0.46065945220874793,0.050722891566265,0.6924623115577889,0.8867438867438867,0.7776523702031604
AU15+AU23,combo_2,weighted,795,0.4595446553193033,0.0641758241758241,0.6900406504065041,0.8738738738738738,0.771152754116979
