intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.5,0.5,0.3,39195,195350.46600000001,3016,9.806104578433825,3.0,1.0,12.0,152,48.874272204153115,7.76600000000019,978,40.076687116564415,15.0,199.74485276073622
1.5,0.5,0.5,39194,195349.96600000001,3016,9.805854390793094,3.0,1.0,12.0,152,48.87414711033275,7.76600000000019,978,40.07566462167689,15.0,199.74434151329245
1.5,0.5,1.0,33600,191224.597,2810,8.40630472854641,3.0,0.0,10.0,134,47.84203077307981,7.033000000000129,978,34.355828220858896,12.0,195.526172801636
1.5,0.5,1.5,28101,184477.428,2649,7.0305228921691265,2.0,0.0,8.0,114,46.153972479359524,5.932999999999993,978,28.733128834355828,9.0,188.62722699386504
1.5,0.5,2.0,23776,177027.587,2453,5.948461346009507,1.0,0.0,7.0,90,44.29011433575182,5.000000000000114,978,24.31083844580777,7.0,181.0098026584867
1.5,1.0,0.0,37110,196885.90099999998,3016,9.284463347510632,3.0,1.0,12.0,129,49.25841906429822,7.800999999999931,978,37.94478527607362,14.5,201.31482719836401
1.5,1.0,0.3,37110,196885.90099999998,3016,9.284463347510632,3.0,1.0,12.0,129,49.25841906429822,7.800999999999931,978,37.94478527607362,14.5,201.31482719836401
1.5,1.0,0.5,37109,196885.40099999998,3016,9.284213159869902,3.0,1.0,12.0,129,49.25829397047785,7.800999999999931,978,37.943762781186095,14.5,201.31431595092025
1.5,1.0,1.0,31895,193049.104,2810,7.979734801100825,3.0,0.0,10.0,116,48.29849987490618,7.1339999999996735,978,32.61247443762781,12.0,197.3917218813906
1.5,1.0,1.5,26896,186919.61,2650,6.7290467850888165,2.0,0.0,8.0,105,46.76497623217413,6.066999999999993,978,27.501022494887525,9.0,191.12434560327196
1.5,1.0,2.0,22930,180085.67599999998,2459,5.736802601951464,1.0,0.0,7.0,87,45.05521040780585,5.1340000000000146,978,23.445807770961146,7.0,184.13668302658488
1.5,2.0,0.0,35004,199967.99300000002,3016,8.757568176132098,3.0,1.0,11.0,105,50.029520390292724,7.899999999999977,978,35.79141104294479,14.0,204.46625051124747
1.5,2.0,0.3,35004,199967.99300000002,3016,8.757568176132098,3.0,1.0,11.0,105,50.029520390292724,7.899999999999977,978,35.79141104294479,14.0,204.46625051124747
1.5,2.0,0.5,35004,199967.99300000002,3016,8.757568176132098,3.0,1.0,11.0,105,50.029520390292724,7.899999999999977,978,35.79141104294479,14.0,204.46625051124747
1.5,2.0,1.0,30219,196458.83,2811,7.560420315236427,3.0,0.0,10.0,100,49.15157117838378,7.234000000000094,978,30.89877300613497,11.5,200.87814928425357
1.5,2.0,1.5,25689,190907.756,2655,6.427070302727046,2.0,0.0,8.0,87,47.7627610708031,6.16700000000003,978,26.266871165644172,9.0,195.20220449897752
1.5,2.0,2.0,22105,184731.152,2468,5.530397798348762,1.0,0.0,7.0,76,46.21745108831624,5.2999999999999545,978,22.602249488752555,7.0,188.88665848670757
1.5,3.0,0.0,33483,203764.625,3016,8.377032774580936,3.0,1.0,11.0,90,50.97939079309482,7.932000000000187,978,34.236196319018404,14.0,208.3482873210634
1.5,3.0,0.3,33483,203764.625,3016,8.377032774580936,3.0,1.0,11.0,90,50.97939079309482,7.932000000000187,978,34.236196319018404,14.0,208.3482873210634
1.5,3.0,0.5,33483,203764.625,3016,8.377032774580936,3.0,1.0,11.0,90,50.97939079309482,7.932000000000187,978,34.236196319018404,14.0,208.3482873210634
1.5,3.0,1.0,28955,200447.331,2812,7.244183137353015,3.0,0.0,10.0,83,50.14944483362522,7.299000000000063,978,29.606339468302657,11.0,204.95637116564419
1.5,3.0,1.5,24707,195244.926,2656,6.181386039529647,2.0,0.0,8.0,78,48.84786740055041,6.332999999999856,978,25.26278118609407,9.0,199.63693865030672
1.5,3.0,2.0,21372,189499.049,2472,5.34701025769327,1.0,0.0,7.0,72,47.410319989992495,5.400000000000091,978,21.85276073619632,7.0,193.76180879345605
1.8,0.0,0.0,11042,64487.009000000005,1839,2.76257192894671,0.0,0.0,3.0,69,16.13385263947961,0.0,978,11.29038854805726,2.0,65.93763701431493
1.8,0.0,0.3,11042,64487.009000000005,1839,2.76257192894671,0.0,0.0,3.0,69,16.13385263947961,0.0,978,11.29038854805726,2.0,65.93763701431493
1.8,0.0,0.5,11042,64487.009000000005,1839,2.76257192894671,0.0,0.0,3.0,69,16.13385263947961,0.0,978,11.29038854805726,2.0,65.93763701431493
